ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-15,6261.988135710381,-5543.67181014625,14396.436337391515,6261.988135710381,6261.988135710381,-2350.7919829665807,-2350.7919829665807,-2350.7919829665807,-4333.254016884386,-4333.254016884386,-4333.254016884386,1982.462033917805,1982.462033917805,1982.462033917805,0.0,0.0,0.0,3911.1961527438007
2017-01-16,6318.195612107474,1703.982199065733,21096.58078289657,6318.195612107474,6318.195612107474,5309.272716302367,5309.272716302367,5309.272716302367,3310.4548953568064,3310.4548953568064,3310.4548953568064,1998.817820945561,1998.817820945561,1998.817820945561,0.0,0.0,0.0,11627.468328409841
2017-01-17,6374.403088504565,2109.4808350873923,21010.60473196625,6374.403088504565,6374.403088504565,4920.5376621934965,4920.5376621934965,4920.5376621934965,2978.4511671177884,2978.4511671177884,2978.4511671177884,1942.0864950757084,1942.0864950757084,1942.0864950757084,0.0,0.0,0.0,11294.94075069806
2017-01-18,6430.610564901655,1206.2033074575531,19719.361862865488,6430.610564901655,6430.610564901655,4011.8662093807093,4011.8662093807093,4011.8662093807093,2188.7194268996486,2188.7194268996486,2188.7194268996486,1823.1467824810609,1823.1467824810609,1823.1467824810609,0.0,0.0,0.0,10442.476774282364
2017-01-19,6486.818041298746,-109.23105038971957,18726.756852535513,6486.818041298746,6486.818041298746,2732.978609047078,2732.978609047078,2732.978609047078,1079.3357269138658,1079.3357269138658,1079.3357269138658,1653.6428821332127,1653.6428821332127,1653.6428821332127,0.0,0.0,0.0,9219.796650345823
2017-01-20,6543.025517695837,-1920.2391905407899,16810.503305782353,6543.025517695837,6543.025517695837,1600.6316561871565,1600.6316561871565,1600.6316561871565,155.0096046925909,155.0096046925909,155.0096046925909,1445.6220514945653,1445.6220514945653,1445.6220514945653,0.0,0.0,0.0,8143.657173882993
2017-01-21,6599.232994092928,-7244.985229154708,12110.989365554411,6599.232994092928,6599.232994092928,-4167.535804719642,-4167.535804719642,-4167.535804719642,-5378.716804080874,-5378.716804080874,-5378.716804080874,1211.1809993612314,1211.1809993612314,1211.1809993612314,0.0,0.0,0.0,2431.6971893732853
2017-01-22,6655.440470490018,-6587.253083005896,12670.341613724766,6655.440470490018,6655.440470490018,-3371.1237778282084,-3371.1237778282084,-3371.1237778282084,-4333.254016916015,-4333.254016916015,-4333.254016916015,962.130239087806,962.130239087806,962.130239087806,0.0,0.0,0.0,3284.3166926618096
2017-01-23,6711.647946887108,882.4361752298499,20075.052191105107,6711.647946887108,6711.647946887108,4020.1396251662327,4020.1396251662327,4020.1396251662327,3310.454895361404,3310.454895361404,3310.454895361404,709.6847298048291,709.6847298048291,709.6847298048291,0.0,0.0,0.0,10731.787572053341
2017-01-24,6767.8554232842,347.5661613767239,19886.632398522706,6767.8554232842,6767.8554232842,3442.6392721750567,3442.6392721750567,3442.6392721750567,2978.4511671158198,2978.4511671158198,2978.4511671158198,464.18810505923716,464.18810505923716,464.18810505923716,0.0,0.0,0.0,10210.494695459256
2017-01-25,6824.06289968129,-915.4189846880981,18755.25970636805,6824.06289968129,6824.06289968129,2423.5960182958625,2423.5960182958625,2423.5960182958625,2188.71942689983,2188.71942689983,2188.71942689983,234.87659139603224,234.87659139603224,234.87659139603224,0.0,0.0,0.0,9247.658917977153
2017-01-26,6880.270376078381,-1491.7896402038266,17360.67948126009,6880.270376078381,6880.270376078381,1109.0231182173438,1109.0231182173438,1109.0231182173438,1079.3357269102514,1079.3357269102514,1079.3357269102514,29.687391307092348,29.687391307092348,29.687391307092348,0.0,0.0,0.0,7989.2934942957245
2017-01-27,6936.477852475474,-2619.1390855694713,17027.317809122535,6936.477852475474,6936.477852475474,10.124490829659168,10.124490829659168,10.124490829659168,155.00960469754543,155.00960469754543,155.00960469754543,-144.88511386788625,-144.88511386788625,-144.88511386788625,0.0,0.0,0.0,6946.602343305133
2017-01-28,6992.685328872564,-7921.2135998690765,11220.686596983154,6992.685328872564,6992.685328872564,-5662.600257263425,-5662.600257263425,-5662.600257263425,-5378.7168040880015,-5378.7168040880015,-5378.7168040880015,-283.88345317542326,-283.88345317542326,-283.88345317542326,0.0,0.0,0.0,1330.085071609139
2017-01-29,7048.892805269655,-7811.44793639483,11901.81542374313,7048.892805269655,7048.892805269655,-4717.185050484144,-4717.185050484144,-4717.185050484144,-4333.254016907468,-4333.254016907468,-4333.254016907468,-383.9310335766759,-383.9310335766759,-383.9310335766759,0.0,0.0,0.0,2331.7077547855106
2017-01-30,7105.100281666746,567.4704732735363,19232.33004224989,7105.100281666746,7105.100281666746,2867.2278844702855,2867.2278844702855,2867.2278844702855,3310.454895366001,3310.454895366001,3310.454895366001,-443.227010895716,-443.227010895716,-443.227010895716,0.0,0.0,0.0,9972.328166137031
2017-01-31,7161.307758063836,1181.4749059982914,19706.440807841693,7161.307758063836,7161.307758063836,2516.9567135831985,2516.9567135831985,2516.9567135831985,2978.4511671152577,2978.4511671152577,2978.4511671152577,-461.49445353205897,-461.49445353205897,-461.49445353205897,0.0,0.0,0.0,9678.264471647035
2017-02-01,7217.515234460927,-639.143921207323,18177.75634026081,7217.515234460927,7217.515234460927,1748.8339854704152,1748.8339854704152,1748.8339854704152,2188.719426899677,2188.719426899677,2188.719426899677,-439.88544142926105,-439.88544142926105,-439.88544142926105,0.0,0.0,0.0,8966.349219931342
